title,price,link,description
Ewa Larsson shirt,4999,https://jus.se/collections/all-menswear/products/ewa-larsson-shirt-5,"Handcrafted Shirt
Each Garment tells its own story and is one of a kind. Vintage silk scarfs found all over the world are carefully chosen and sewn together in an atelier in Stockholm to create a vibrant patchwork for each unique, eclectic piece.
As the garments are crafted of vintage materials no item is the other one alike and colour variations will occur. 
Oversized fit/one size"
James Perse shirt,2299,https://jus.se/collections/all-menswear/products/james-perse-shirt-copy,"James Perse Standard Shirt is made in 100% cotton that is lightweight and breathable. This fabric is designed using delicate, high count yarns, resulting in a crisp, smooth feel. Style details include a shirt collar, button front closure, full length sleeves with placket at cuffs, back locker loop at neck and a shirttail hem. Garment dyed with extra softeners and silicone for a soft, lived in feel. Classic fit.100% Cotton"
James Perse shirt,2399,https://jus.se/collections/all-menswear/products/james-perse-shirt-5,"James Perse Double layered shirt is made in 100% cotton that is lightweight and breathable. This fabric is designed using delicate, high count yarns, resulting in a crisp, smooth feel. Style details include a shirt collar, button front closure, short sleeves.  Classic fit.
100% Cotton"
Undercover T-shirt,1799,https://jus.se/collections/all-menswear/products/undercover-t-shirt-1,"An oversized style T-shirt from Undercover featuring a print on the front.
100% CottonMade in Japan"
Undercover T-shirt,1499,https://jus.se/collections/all-menswear/products/undercover-t-shirt,"An oversized style T-shirt from Undercover featuring a print on the front.
100% CottonMade in Japan"
Maison Margiela MM6 japanese bag,7599,https://jus.se/collections/all-menswear/products/maison-margiela-mm6-bag-2,"Maison Margiela MM6 Japanese medium shoulder bag. Crafted from distressed leather, the bag features buttons at its edges that allow for the bag to change form through folding, just like the origami that inspire its silhouette. This version comes in a medium size and is also detailed by button closure on leather detail, an inside pocket with button closure and a welt pocket and clasp at the front. The brand’s distinct signature, a horizontal line of white stitches, is found on the back.
S54WD0039P4792H4524
Body: 100% calf leather
Lining: 100% cotton

Height: 55 cm
Width: 2 cm
Length: 50 cm
Handle drop: 20 cm

Made in Italy"
Martin Bergström scarf,3500,https://jus.se/collections/all-menswear/products/martin-bergstrom-scarf-5,"Martin Bergström printed silk scarf. Hand rolled and stitched hem. 
90 x 90 cm"
Martin Bergström scarf,3500,https://jus.se/collections/all-menswear/products/martin-bergstrom-scarf-4,"Martin Bergström printed silk scarf. Hand rolled and stitched hem. 
90 x 90 cm"
Martin Bergström scarf,3500,https://jus.se/collections/all-menswear/products/martin-bergstrom-scarf-3,"Martin Bergström printed silk scarf. Hand rolled and stitched hem. 
90 x 90 cm"
Martin Bergström scarf,3500,https://jus.se/collections/all-menswear/products/martin-bergstrom-scarf-2,"Martin Bergström printed silk scarf. Hand rolled and stitched hem. 
90 x 90 cm"
Martin Bergström scarf,3500,https://jus.se/collections/all-menswear/products/martin-bergstrom-scarf-1,"Martin Bergström printed silk scarf. Hand rolled and stitched hem. 
90 x 90 cm"
Martin Bergström scarf,3500,https://jus.se/collections/all-menswear/products/martin-bergstrom-scarf,"Martin Bergström printed silk scarf. Hand rolled and stitched hem. 
90 x 90 cm"
Lauseger shirt,3899,https://jus.se/collections/all-menswear/products/lauseger-shirt-4,"The shirts comes in two different sizes S/M and L/XL and are meant to be loose and boxy fitting. Regular cuffs and collars on all the models. Front button closure.
All models are made in limited quantities varying from 3-20 depending on how much material was able to be sourced 
98% Viscose, 2% Elastane"
Lauseger shirt,3899,https://jus.se/collections/all-menswear/products/lauseger-shirt-3,"The shirts comes in two different sizes S/M and L/XL and are meant to be loose and boxy fitting. Regular cuffs and collars on all the models. Front button closure.
All models are made in limited quantities varying from 3-20 depending on how much material was able to be sourced 
100% Cotton"
Adnym Atelier jeans,1999,https://jus.se/collections/all-menswear/products/adnym-atelier-jeans-2,"Adnym Atelier Wide is a pair of denim jeans with a straight regular to wide fit in the leg. A classic 5-pocket cotton denim style. These jeans feature two buttons at the waist allowing the wearer to choose if they want them to sit at the waits or at the hip. 
100% cotton"
Core RD Knitting Co hoodie,2699,https://jus.se/collections/all-menswear/products/core-rd-knitting-co-hoodie,"A hoodie from Core RD Knitting Co. Print at front and back. Double drawstring at hood. Regular to oversized fit. Waist length. 
70% Cotton30% Polyester"
James Perse oversized t-shirt,1699,https://jus.se/collections/all-menswear/products/james-perse-oversized-t-shirt,"James Perse Natural Slub Jersey Short Sleeve Crew is made in Japanese jersey. This fabric is soft with a lofty gauze effect, it has natural slub with high's and low's. Style details include crew neck, short sleeves, and clean finish hems. Raw hem at bottomGarment dyed. Classic fit.
100% Cotton
Made in USA"
James Perse t-shirt,999,https://jus.se/collections/all-menswear/products/james-perse-t-shirt-5,"James Perse Short Sleeve Crew made in 100% cotton. This jersey is an extremely soft knit made by specially treating the cotton fibers before they are spun into yarn. Style details include a binded neck, clean finished hems. Classic fit. Garment dyed with extra softeners for a soft lived in feel.
100% Cotton
Made in USA"
Comme des Garçons BLACK t-shirt,999,https://jus.se/collections/all-menswear/products/comme-des-garcons-black-t-shirt-1,"BLACK Comme des Garçons X Nike t-shirt. Featuring a crew neck t-shirt with multiple print logos on the front. 
100% CottonMade in Japan"
Comme des Garçons BLACK t-shirt,999,https://jus.se/collections/all-menswear/products/comme-des-garcons-black-t-shirt,"BLACK Comme des Garçons X Nike t-shirt. Featuring a crew neck t-shirt with multiple print logos on the front. 
100% CottonMade in Japan"
Undercover T-shirt with pockets,2999,https://jus.se/collections/all-menswear/products/undercover-t-shirt-with-pockets,"An oversized style T-shirt from Undercover featuring two pockets and logo patch work.
100% CottonMade in Japan"
Undercover biker jacket,12899,https://jus.se/collections/all-menswear/products/undercover-biker-jacket,"Grained leather and cotton jersey jacket from Undercover. Cleverly fusion between a classic leather biker jacket and a jersey jacket. Metal zipper and hard wear details. 
Main 1: 100% LeatherMain 2: 100% CottonLining: 100% CuproMade in Japan"
Undercover slippers,2199,https://jus.se/collections/all-menswear/products/undercover-slippers,"Undercover x Oofos slipper in rubber. Featuring an easy slip on mule, a round toe and a chain print on the front. 
100% RubberMade in Vietnam"
Engineered Garments jacket,4799,https://jus.se/collections/all-menswear/products/engineered-garments-jacket-4,"Engineered Garments Wind breaker with a leopard print. Featuring a wind jacket with removable hood, button closure. 
100% Nylon Made in USA"
Engineered Garments jacket,4399,https://jus.se/collections/all-menswear/products/engineered-garments-jacket-2,"The Engineered Garments black satin LL jacket is designed with a ribbed knit collar, hem, and sleeves, along with two side pockets. This bomber jacket combines style and functionality. 
80% Pollyester 20% Cotton Made in USA"
Engineered Garments shirt,3499,https://jus.se/collections/all-menswear/products/engineered-garments-shirt,"Engineered Garments Work shirt in white seersucker. A relaxed shirt, featuring two chest pockets.  
100% Cotton Made in USA"
Engineered Garments coverall,6299,https://jus.se/collections/all-menswear/products/engineered-garments-overall,"Engineered Garments Coverall suit in navy linnen. Featuring a short sleeve arm, side pockets and a flap pocket on the chest as well as one on the back, an adjustable waistband to be tightened or loose for a versatile shilouette. 
100% LinenMade in USA"
Engineered Garments trousers,4399,https://jus.se/collections/all-menswear/products/engineered-garments-trousers-3,"Engineered Garments Navy officier trousers. Featuring a straight leg, two side pockets and two flap back pockets. 
65% Pollyester 35% Cotton Made in USA"
Engineered Garments trousers,4899,https://jus.se/collections/all-menswear/products/engineered-garments-trousers-2,"Engineered Garments Satin airborne trousers. Featuring a yoke inspired waistband, two side pockets, two flap pockets on the front as well as on the back and knee patch stitch details and ribb knitted cuffs on the hem.
80% Pollyester 20% Cotton Made in USA"
Dries Van Noten shorts,3899,https://jus.se/collections/all-menswear/products/dries-van-noten-shorts-2,"Dries Van Noten Shorts in a washed out green cotton and linnen mix with a printed pattern. Featuring an elasticated waistband and side pockets. A relaxed 80 cut fit with a wide leg. Slightly lowered crotch. 
83% Cotton 17% Linnen Made in Tunesia"
Adnym Atelier shirt,1799,https://jus.se/collections/all-menswear/products/adnym-atelier-shirt-2,"This off-white shiny cupro shirt with a folded collar from Adnym Atelier is cut to an oversized fit. The fabric is fluid and silky to the touch which gives this garment a luxurious feel. Half hidden button plack down the centre front. 
100% Cupro"
Adnym Atelier jacket,1999,https://jus.se/collections/all-menswear/products/adnym-atelier-jacket,"A pyjamas inspired jacket from Adnym Atelier cut to a boxy, big fit. It's single breasted with button closure. Two front flap pockets.
Sizes are big, you might want to size down one size.
65% Polyester 35% Viscose"
Adnym Atelier shirt,1599,https://jus.se/collections/all-menswear/products/adnym-atelier-shirt,"Regular fit shirt from Adnym Atelier in a midnight blue colorway. Classic fit with regular collar and cuffs. The unique blend of cotton and rose fiber gives this garment a dry feeling but with a lot of movement. Features one chest pocket.
WARD SHIRTMIDNIGHT BLUE 
50% Cotton 50% RoseMade in Portugal"
Maison Margiela jeans,5699,https://jus.se/collections/all-menswear/products/maison-margiela-jeans,"Maison Margiela denim jeans 
100% CottonMade in Italy"
Comme des Garçons BLACK shirt,2199,https://jus.se/collections/all-menswear/products/black-comme-des-garcons-shirt-3,"BLACK Comme des Garçons regular fit cotton poplin shirt. Features a chest pocket and centre front button closure.
Sizes are Japanese and tend to run small, we recommend that you size up one size.
100% CottonMade in Japan"
Comme des Garçons BLACK shirt,2199,https://jus.se/collections/all-menswear/products/black-comme-des-garcons-shirt-2,"BLACK Comme des Garçons regular fit cotton poplin shirt. Features a chest pocket and centre front button closure.
Sizes are Japanese and tend to run small, we recommend that you size up one size.
100% CottonMade in Japan"
Comme des Garçons BLACK shirt,2499,https://jus.se/collections/all-menswear/products/black-comme-des-garcons-shirt-1,"BLACK Comme des Garçons long fit cotton poplin shirt with half way cut off collar with distressed edges. featuring a chest pocket. Centre front button closure. 
Sizes are Japanese and tend to run small, we recommend that you size up one size.
100% Cotton"
Comme des Garçons BLACK shirt,2499,https://jus.se/collections/all-menswear/products/black-comme-des-garcons-shirt,"BLACK Comme des Garçons long fit cotton poplin shirt with half way cut off collar with distressed edges. featuring a chest pocket. Centre front button closure. 
Sizes are Japanese and tend to run small, we recommend that you size up one size.
100% CottonMade in Japan"
Stockholm (Surfboard) Club cap,999,https://jus.se/collections/all-menswear/products/stockholm-surfboard-club-cap,"Stockholm (Surfboard) Club
100% Cotton"
Stockholm (Surfboard) Club shorts,1599,https://jus.se/collections/all-menswear/products/stockholm-surfboard-club-shorts,"Stockholm (Surfboard) Club Shorts 
84% Cotton 16% Linen"
Stockholm (Surfboard) Club shirt,3999,https://jus.se/collections/all-menswear/products/stockholm-surfboard-club-shirt,"Stockholm (Surfboard) Club Overshirt, featuring two outer front pockets and signature logo on the back 
67% Polyester33% Cotton"
Maharishi shorts,2699,https://jus.se/collections/all-menswear/products/maharishi-shorts-2,"Maharishi Cargo shorts 
60% Hemp40% Cotton"
Maharishi trousers,2399,https://jus.se/collections/all-menswear/products/maharishi-trousers-1,"Maharishi trousers 
66% Organic cotton 34% Polyester"
Maharishi shorts,1999,https://jus.se/collections/all-menswear/products/maharishi-shorts-1,"Maharishi Cargo shorts 
66% Organic cotton 34% Polyester"
Maharishi jacket,5399,https://jus.se/collections/all-menswear/products/maharishi-jacket,"Maharishi Upcycled parachute kimono 
100% Polyester"
Maharishi shorts,3999,https://jus.se/collections/all-menswear/products/maharishi-shorts,"Maharishi shorts featuring a dragon bamboo embroidery on the front. 
50% Hemp 50% Cotton"
Maharishi shirt,4299,https://jus.se/collections/all-menswear/products/maharishi-shirt-1,"Maharishi shirt featuring a dragon bamboo embroidery on the front. 
50% Hemp 50% Cotton"
Maharishi shirt,4299,https://jus.se/collections/all-menswear/products/maharishi-shirt,"Maharishi shirt featuring a double tigers embroidery on the front. 
100% Cupro"
James Perse shorts,1599,https://jus.se/collections/all-menswear/products/james-perse-shorts,"James Perse shorts
100% CottonMade in USA"
Yohji Yamamoto shirt,6999,https://jus.se/collections/all-menswear/products/yohji-yamamoto-shirt-1,"Yohji Yamamoto 3 layer collar blouse. 
100% CottonMade in Japan"
Maison Margiela jacket,13999,https://jus.se/collections/all-menswear/products/maison-margiela-jacket-1,"Maison Margiela Yoke Canvas Jacket in Charcoal.  
100% NylonMade in Italy"
Maison Margiela shirt,5299,https://jus.se/collections/all-menswear/products/maison-margiela-shirt-1,"Maison Margiela C short-sleeved shirt in rayon twill features a chest pocket and embroidered C, which stands for Count from Cinema Inferno – the performance that introduced the Artisanal 2022 Collection. Maison Margiela’s signature, the Four stitches, appear at the back; the opposite of a label.
85% viscose-rayon, 15% polyester
Lining: 100% viscose-rayon
Made in Italy"
Dries Van Noten belt,2799,https://jus.se/collections/all-menswear/products/dries-van-noten-belt-1,"A wider black leather belt from Dries Van Noten. Smooth surface with a polished silver metal buckle.
Width 3,5cm
100% leatherMade in Italy"
Dries Van Noten belt,2899,https://jus.se/collections/all-menswear/products/dries-van-noten-belt,"A black leather belt from Dries Van Noten featuring seam edging and a silver metal buckle. 
Width 2,5cm
100% leatherMade in Italy"
Dries Van Noten trousers,3999,https://jus.se/collections/all-menswear/products/dries-van-noten-trousers-4,"Garment dyed chinos from Dries Van Noten. Regular fit with a mid rise. Tapered and cropped leg. Side pockets and back patch pockets. Belt loops. Front zip and button closure.
100% CottonMade in Romania"
Dries Van Noten trousers,3999,https://jus.se/collections/all-menswear/products/dries-van-noten-trousers-3,"Garment dyed chinos from Dries Van Noten. Regular fit with a mid rise. Tapered and cropped leg. Side pockets and back patch pockets. Belt loops. Front zip and button closure.
100% CottonMade in Romania"
Dries Van Noten trousers,3499,https://jus.se/collections/all-menswear/products/dries-van-noten-trousers-2,"Trousers from Dries Van Noten in a unique purple/lilac color blended print. Using a dip dying process the stripe on the side is added and colored in a deep petrol green/grey color. Side seam pockets, one welt pocket in the back. Elasticated waistband with drawstrings.
100% ViscoseMade in Romania"
Dries Van Noten shirt,3499,https://jus.se/collections/all-menswear/products/dries-van-noten-shirt-4,"A short sleeve shirt from Dries Van Noten in a unique purple/lilac color blended print. Using a dip dying process the edges throughout the garment is colored in a deep petrol green/grey color. Classic/boxy fit. Front button closure. 
100% ViscoseMade in Tunisia"
Dries Van Noten jacket,5699,https://jus.se/collections/all-menswear/products/dries-van-noten-blazer-1,"This workwear inspired blazer/jacket from Dries Van Noten has a regular relaxed fit. A raglan and regular sleeve fused together in a unique solution makes for the ultimate fit. Two front flap pockets and a single chest pocket. Button closure. 
100% cottonMade in Bulgaria"
CDLP t-shirt,899,https://jus.se/collections/all-menswear/products/cdlp-t-shirt-3,"CDLP Midweight T-shirt in white
Made of a unique 220 gsm Tencel™ Lyocell and pima cotton blend, designed with a regular fit and a classic crew neck. 
67% Tencel™ lyocell 33% pima cottonMade in Portugal"
CDLP t-shirt,899,https://jus.se/collections/all-menswear/products/cdlp-t-shirt-2,"CDLP Midweight T-shirt in black 
Made of a unique 220 gsm Tencel™ Lyocell and pima cotton blend, designed with a regular fit and a classic crew neck.
67% Tencel™ lyocell 33% pima cottonMade in Portugal"
CDLP t-shirt,899,https://jus.se/collections/all-menswear/products/cdlp-t-shirt-1,"CDLP Midweight T-shirt in steel blue
Made of a unique 220 gsm Tencel™ Lyocell and pima cotton blend, designed with a regular fit and a classic crew neck.
67% Tencel™ lyocell 33% pima cottonMade in Portugal"
CDLP t-shirt,899,https://jus.se/collections/all-menswear/products/cdlp-t-shirt,"CDLP Midweight T-shirt in clay 
Made of a unique 220 gsm Tencel™ Lyocell and pima cotton blend, designed with a regular fit and a classic crew neck.
67% Tencel™ lyocell 33% pima cottonMade in Portugal"
Rick Owens drawstring shorts,4999,https://jus.se/collections/all-menswear/products/rick-owens-drawstring-pants,"Rick Owens DRKSHDW SS24 Drawstring shorts in black. These pods in a stiff cotton twill fits relaxed and ends just below the knees. Featuring Rick's classic drop crotch. Side pockets and two back pockets. 
Material 100% cotton Made in Italy"
Rick Owens outershirt,5999,https://jus.se/collections/all-menswear/products/rick-owens-outershirt,"Rick Owens DRKSHDW SS24 Outershirt in black. This shirt with two button closure chest pockets has a straight narrow fit. Center front button closure. Regular short collar. Regular cuffs at bottom of sleeve. 
Material 100% cotton Made in Italy"
Rick Owens hustler t-shirt,4799,https://jus.se/collections/all-menswear/products/rick-owens-hustler-t-shirt-1,"Rick Owens DRKSHDW SS24 Hustler T in dust. A layered sweater made up of a long sleeve and a short sleeve shirt in light weight cotton jersey combined to create one garment. Big fit, extra long.
Material 100% cotton Made in Italy"
Rick Owens hustler t-shirt,4799,https://jus.se/collections/all-menswear/products/rick-owens-hustler-t-shirt,"Rick Owens DRKSHDW SS24 Hustler T in black. A layered sweater made up of a long sleeve and a short sleeve shirt in light weight cotton jersey combined to create one garment. Big fit, extra long.
Material 100% cotton Made in Italy"
Rick Owens t-shirt,2299,https://jus.se/collections/all-menswear/products/rick-owens-t-shirt-3,"Rick Owens DRKSHDW SS24 Small level T in black. A tighter smaller fit t-shirt. Short cap sleeves. Rib knitted neck edging.
Material 100% cotton  Made in Italy"
Ewa Larsson shirt,4799,https://jus.se/collections/all-menswear/products/ewa-larsson-shirt-1,"Handcrafted Shirt
Each Garment tells its own story and is one of a kind. Vintage silk scarfs found all over the world are carefully chosen and sewn together in an atelier in Stockholm to create a vibrant patchwork for each unique, eclectic piece.
As the garments are crafted of vintage materials no item is the other one alike and colour variations will occur. 
One Size"
Magliano belt,1499,https://jus.se/collections/all-menswear/products/magliano-belt,"A new take on a classic belt. this Magliano SS24 shortened leather belt is held up by tying the two strings attached on either side. 
100% LeatherMade in Italy"
Engineered Garments trousers,2999,https://jus.se/collections/all-menswear/products/engineered-garments-trousers-1,"Engineered Garments Fatigue chino in navy cotton ripstop. These are Engineered Garment's most classic cut trousers with a straight narrowed relaxed fit. Two flap back pockets and two side pockets. Button and zip closure.
100% Cotton Made in USA"
Engineered Garments trousers,2999,https://jus.se/collections/all-menswear/products/engineered-garments-trousers,"Engineered Garments Fatigue chino in natural cotton twill. These are Engineered Garment's most classic cut trousers with a straight narrowed relaxed fit. Two flap back pockets and two side pockets. Button and zip closure.
100% Cotton Made in USA"
Engineered Garments denim jeans,4699,https://jus.se/collections/all-menswear/products/engineered-garments-jeans,"Engineered Garments Indigo floral print denim jeans. Cut to a relaxed fit with adjustable drawstrings at the waist. 5-pockets, zip fly and button closure, belt loops. 
100% Cotton Made in USA"
Engineered Garments blazer,5499,https://jus.se/collections/all-menswear/products/engineered-garments-blazer,"Engineered Garments Ivy blazer in navy linen twill. A relaxed fit single breasted blazer with a three button closure. Two flap pockets and one chest pocket on the front. 
100% Linen Made in USA"
James Perse trousers,3999,https://jus.se/collections/all-menswear/products/james-perse-trousers,"A pair of narrow fit trousers in a soft brushed cotton twill from James Perse. The fit of a 5-pocket denim trouser with the comfort of a chino. Mid rise, narrow leg, button and zip closure.
100% Cotton
Made in USA"
James Perse shirt,2299,https://jus.se/collections/all-menswear/products/james-perse-shirt,"James Perse Standard Shirt is made in 100% cotton that is lightweight and breathable. This fabric is designed using delicate, high count yarns, resulting in a crisp, smooth feel. Style details include a shirt collar, button front closure, full length sleeves with placket at cuffs, back locker loop at neck and a shirttail hem. Garment dyed with extra softeners and silicone for a soft, lived in feel. Classic fit.100% Cotton
Made in China"
James Perse t-shirt,999,https://jus.se/collections/all-menswear/products/james-perse-t-shirt-4,"James Perse Short Sleeve Crew made in 100% cotton. This jersey is an extremely soft knit made by specially treating the cotton fibers before they are spun into yarn. Style details include a binded neck, clean finished hems. Classic fit. Garment dyed with extra softeners for a soft lived in feel.
100% Cotton
Made in USA"
Adnym Atelier trousers,2699,https://jus.se/collections/all-menswear/products/adnym-atelier-trousers-2,"Adnym Atelier trousers inspired by classic Japanese worker trousers. Exaggerated waist where you pull the drawstrings to desired tightness giving the same expression as an elasticated waistband. Can therefore either be worn at the waist or on the hip. 
80% Tencel 20% Linen
(Take your usual size and pull the drawstrings tight.)"
Adnym Atelier shorts,2199,https://jus.se/collections/all-menswear/products/adnym-atelier-trousers-1,"Shorts from Adnym Atelier in a longer relaxed fit. Elasticated waistband with draw strings. side pockets and two utilitarian back pockets. Front pleats gives these shorts a dressed yet casual feeling 
80% Tencel 20% Linen"
Magliano shorts,4699,https://jus.se/collections/all-menswear/products/magliano-shorts,"Magliano signature shupershort shorts 

100% Cotton Made in Italy"
Magliano denim jeans,4999,https://jus.se/collections/all-menswear/products/magliano-denim-jeans,"Magliano Unregular denim officina black 
Washed black regular fit with curved cut.
100% Cotton Made in Italy"
Rick Owens wide leg trousers,7999,https://jus.se/collections/all-menswear/products/rick-owens-wide-leg-trousers,"Rick Owens DRKSHDW SS24 Lido double cargo jumbo belas in black cotton barre.
These double cargo jumbo bela pants are full-lenght with a low crotch and wide leg. They feature an elasticized waistband with drawstring and a bela exposed centre zipper with two snap detal and side welt pockets with rivets. They feature two beveled cargo pockets on the thigh, with two square cargo pockets below, and two back square pockets. All have flaps and topstitching.  
100% Cotton Made in Italy"
Rick Owens oversized t-shirt,2399,https://jus.se/collections/all-menswear/products/copy-of-rick-owens-t-shirt,"Rick Owens DRKSHDW SS24 Lido Tommy T in black medium weight cotton jersey
Tommy T is below hip lenght with a jumbo oversized fit. It has wide short sleeves witha dropped armhole, raw cut hems and a ribbed crewneck. It features the signature level shoulder seams and a centre back seam
Material 100% cotton"
Undercover sweatshirt,2999,https://jus.se/collections/all-menswear/products/undercover,"Undercover sweatshirt featuring a ""nope"" print and swallows 
100% Cotton"
Comme des Garçons BLACK blazer,7999,https://jus.se/collections/all-menswear/products/black-comme-des-garcons-blazer,"BLACK Comme des Garçons deconstructed blazer. This jacket is a blazer and a denim jacket fused into one garment. The front is made from a blazer pattern while the back and the sleeves are made up from a denim jacket pattern. 
Sizes are Japanese and tend to run small, we recommend that you size up one size.
Main: 100% wool laine Front lining: 100% cupro Back lining: 100% cotton Made in Japan"
Yohji Yamamoto jacket,11999,https://jus.se/collections/all-menswear/products/yohji-yamamoto-jacket-1,"Yohji Yamamoto front pocket jacket.
57% Triacetate43% polyesterSleeves lining 100% cuproMade in Japan"
Yohji Yamamoto jacket,13999,https://jus.se/collections/all-menswear/products/yohji-yamamoto-jacket,"Yohji Yamamoto double lapel suit jacket. single breasted two button front closure. two side pockets. Relaxed fit with tailored shoulders.
Main: 57% triacetate 43% polyester Sleeve lining: 100% cuproMade in Japan"
Yohji Yamamoto knitted vest,5999,https://jus.se/collections/all-menswear/products/yohji-yamamoto-knitted-vest,"Regular fit knitted vest from Yohji Yamamoto. This V-neck vest features distressed details throughout the garment. 
100% cotton"
Yohji Yamamoto x  Neighborhood hoodie,4699,https://jus.se/collections/all-menswear/products/yohji-yamamoto-x-neighborhood-hoodie,"Yohji Yamamoto x  Neighborhood hoodie. Regular relaxed fit with pocket and print in the front. Rib knitted cuffs and drawstrings in the hood. 
100% cottonMade in Japan"
Yohji Yamamoto x Neigborhood t-shirt,2399,https://jus.se/collections/all-menswear/products/yohji-yamamoto-x-neigborhood-t-shirt,"Yohji Yamamoto x Neighborhood t-shirt. Regular, relaxed fit. Print in the front. Rib knitted edging at the neck hole. Black.
100% CottonMader in Japan"
Martine Rose classic hoodie,3999,https://jus.se/collections/all-menswear/products/martine-rose-classic-hoodie,"A classic fit hoodie in a heavy knit jersey from Martine Rose. This hoodie features a hidden front pocket with a box logo on the chest and a back print. Washed black. regular fit.
100% CottonMade in Portugal"
Martine Rose zip up polo,3199,https://jus.se/collections/all-menswear/products/martine-rose-zip-up-polo,"An oversized zip up polo from Martine Rose. Inspired by the classic rugby polo this sweater is cut to an oversized fit and features a golden embroidered logo on the chest. The fabric is treated to give this garment a worn in effect.
100% cottonMade in Portugal"
Martin Rose lining waistcoat,2499,https://jus.se/collections/all-menswear/products/martin-rose-lining-waistcoat,"A waistcoat made to look like the lining inside of a suit jacket. Raw edges and small embroidered logo patches. Two chest pockets. 
100% CuproMade in Portugal"
Martine Rose t-shirt,2399,https://jus.se/collections/all-menswear/products/martine-rose-t-shirt,"A football inspired jersey from Martine Rose. This t-shirt is cut to an oversized fit. Lowered sleeve holes, contrasting panels and printed logo.
100% cottonMade in Portugal"
Martine Rose worker trousers,6799,https://jus.se/collections/all-menswear/products/martine-rose-worker-trousers,"These trousers from Martine Rose are directly inspired by real workers trousers. Featuring light reflecting parts and contrasting knee patches. Side poc kets, a back pocket and zip/button fly. Elasticated back part in the waist. 
Main: 100% polyesterContrast: 40% glass beads, 30% acrylic, 20% polyester, 10% cottonMade in Italy"
Maison Margiela parka,19899,https://jus.se/collections/all-menswear/products/maison-margiela-jacket,"A functional coat in cordura with a zipped neck, utilitarian pockets and a sportswear-inspired elasticated hem. The glossy print on the right side represents the invitation for Maison Margiela's AW23 Co-Ed collection presentation. 
100% PolyamidMade in Italy"
Maison Margiela shirt,5999,https://jus.se/collections/all-menswear/products/maison-margiela-oversized-shirt,"Maison Margiela shirt
100% CottonMade in Italy"
Maison Margiela oversized t-shirt,3799,https://jus.se/collections/all-menswear/products/maison-margiela-oversized-t-shirt-1,"This Maison Margiela T-shirt in a faded overdyed washed grey colour is cut to an oversized fit and features a logo on the front. 
100% CottonMade in Italy"
